【生徒データ】セクション
生徒コード,教室,氏名,ｼﾒｲ,性,高校,学科,学校ｸﾗｽ,部活,志望大学,志望学部
s001,難関大クラス,田中太郎,たなかたろう,男,県立第一高校,理系,3-A,英語部,東京大学,工学部
s002,難関大クラス,鈴木花子,すずきはなこ,女,県立女子高校,文系,3-B,演劇部,京都大学,文学部
s003,標準クラス,山田次郎,やまだじろう,男,私立城北高校,理系,3-C,テニス部,早稲田大学,教育学部
s004,標準クラス,佐藤美咲,さとうみさき,女,県立南高校,文系,3-D,バドミントン部,慶應義塾大学,文学部

【チェックテスト成績】セクション
氏名,授業回,授業内容,日付,授業内容の理解,初見問題,文法語法,単語,リスニング,合計
田中太郎,1,文法基礎：時制,2026-02-02,18,16,19,17,15,85
田中太郎,2,長文読解：社会評論,2026-02-09,19,18,16,19,17,89
田中太郎,3,英作文：日常会話,2026-02-16,17,19,18,18,16,88
鈴木花子,1,文法基礎：時制,2026-02-02,20,19,20,19,18,96
鈴木花子,2,長文読解：社会評論,2026-02-09,19,20,19,20,19,97
鈴木花子,3,英作文：日常会話,2026-02-16,20,18,20,19,20,97
山田次郎,1,文法基礎：時制,2026-02-02,16,14,17,15,13,75
山田次郎,2,長文読解：社会評論,2026-02-09,18,17,18,16,15,84
佐藤美咲,1,文法基礎：時制,2026-02-02,19,18,18,20,19,94
佐藤美咲,2,長文読解：社会評論,2026-02-09,18,19,19,19,18,93
